Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
BurrXII,11,7,1e-06,72,3,60,189,7,0.037037037037037,377,23955606,1.57374436697615e-05,15.7374436697615,7,296,182,0.0231023102310231,0.037037037037037,0.0284552845528455,0.3655140625,0.6344859375,0,2.68585903666822,2.71573363259371,0.104938521661552,-0.906523767223446,401.539520833333,657.409471354167
CA-CFAR,11,7,1e-06,72,0,60,189,0,0,36,37914812,9.4949699341777e-07,0.94949699341777,0,21,189,0,0,0,0,1,0,NaN,NaN,0.104938521661552,-0.906523767223446,0,228.7221796875
G0,11,7,1e-06,72,3,60,189,3,0.0158730158730159,262,9221922,2.84105634378604e-05,28.4105634378604,3,194,186,0.0152284263959391,0.0158730158730159,0.0155440414507772,0.751784609375,0.248215390625,0,23.3820520614964,36.9997516818164,0.104938521661552,-0.906523767223446,3617.66344010417,4077.06290364583
G0-L1,11,7,1e-06,72,2,60,189,0,0,0,8634,0,0,0,0,189,0,0,0,0.999623255208334,0.000376744791666667,0,11.7192027389917,19.5134049326716,0.104938521661552,-0.906523767223446,26.8001979166667,253.2959921875
GenGamma,11,7,1e-06,72,3,60,189,47,0.248677248677249,47887,37789598,0.00126720056667446,1267.20056667446,47,40923,142,0.00114718086404686,0.248677248677249,0.00228382613766126,0.00356489583333333,0.996435104166667,0,1.42906403729865,1.98806171628167,0.104938521661552,-0.906523767223446,177.138572916667,1180.27775260417
GenGamma-exact,11,7,1e-06,72,3,60,189,38,0.201058201058201,33379,35424348,0.00094226152024026,942.26152024026,38,29412,151,0.00129032258064516,0.201058201058201,0.00256418907520497,0.0655454166666667,0.934454583333333,0,1.59565067981513,2.02778398743765,0.104938521661552,-0.906523767223446,459.757653645833,1402.17391145833
K,11,7,1e-06,72,2,60,189,0,0,0,8634,0,0,0,0,189,0,0,0,0.999623255208334,0.000376744791666667,0,NaN,NaN,0.104938521661552,-0.906523767223446,12.1581822916667,408.982447916667
Lognormal,11,7,1e-06,72,2,60,189,2,0.0105820105820106,131,37914812,3.45511405938133e-06,3.45511405938133,2,72,187,0.027027027027027,0.0105820105820106,0.0152091254752852,0,1,0,0.323942110104476,0.0602730594877019,0.104938521661552,-0.906523767223446,6.91654427083333,229.6946171875
Weibull,11,7,1e-06,72,2,60,189,76,0.402116402116402,24042,37914812,0.000634105742104168,634.105742104168,76,12468,113,0.00605867346938775,0.402116402116402,0.0119374852744836,0,1,0,3.95919569756121,0.699250557217516,0.104938521661552,-0.906523767223446,8.7406015625,231.6514296875
BurrXII,15,11,1e-06,104,3,60,189,4,0.0211640211640212,376,23065297,1.63015459978686e-05,16.3015459978686,4,252,185,0.015625,0.0211640211640212,0.0179775280898876,0.388277473958333,0.611722526041667,0,2.91500773642638,3.2837810232862,0.106784567694326,-0.946225814322558,379.166893229167,646.845731770833
CA-CFAR,15,11,1e-06,104,0,60,189,0,0,59,37914812,1.55612007254579e-06,1.55612007254579,0,31,189,0,0,0,0,1,0,NaN,NaN,0.106784567694326,-0.946225814322558,0,241.1965
G0,15,11,1e-06,104,3,60,189,5,0.0264550264550265,300,7764771,3.86360396204859e-05,38.6360396204859,5,204,184,0.0239234449760766,0.0264550264550265,0.0251256281407035,0.788859010416667,0.211140989583333,0,26.6817507780678,45.4123808803809,0.106784567694326,-0.946225814322558,3463.04184114583,3900.06032291667
G0-L1,15,11,1e-06,104,2,60,189,0,0,0,8108,0,0,0,0,189,0,0,0,0.999559973958333,0.000440026041666667,0,11.3807459938127,18.1420092733577,0.106784567694326,-0.946225814322558,25.8737994791667,265.513361979167
GenGamma,15,11,1e-06,104,3,60,189,36,0.19047619047619,41798,37830402,0.0011048785577272,1104.8785577272,36,35391,153,0.00101617410449657,0.19047619047619,0.00202156334231806,0.00247018229166666,0.997529817708333,0,1.31628785683209,1.56375036937835,0.106784567694326,-0.946225814322558,182.02859375,1183.08627864583
GenGamma-exact,15,11,1e-06,104,3,60,189,30,0.158730158730159,33095,35992858,0.000919487971752618,919.487971752618,30,28974,159,0.00103434009102193,0.158730158730159,0.00205528722638989,0.050591484375,0.949408515625,0,1.43004641393633,1.60797754295036,0.106784567694326,-0.946225814322558,459.4249453125,1434.99099479167
K,15,11,1e-06,104,2,60,189,0,0,0,8108,0,0,0,0,189,0,0,0,0.999559973958333,0.000440026041666667,0,NaN,NaN,0.106784567694326,-0.946225814322558,10.8574296875,249.065911458333
