Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
BurrXII,11,7,1e-06,72,3,250,895,26,0.0290502793296089,1677,97995110,1.71130988066649e-05,17.1130988066649,26,1301,869,0.0195930670685757,0.0290502793296089,0.0234023402340234,0.37980581875,0.62019418125,0,2.68102710843707,2.72439554613602,0.106947469577296,-0.910507787687074,343.6933075,567.972498125
CA-CFAR,11,7,1e-06,72,0,250,895,1,0.00111731843575419,138,158561677,8.70323792047179e-07,0.870323792047179,1,66,894,0.0149253731343284,0.00111731843575419,0.00207900207900208,0,1,0,NaN,NaN,0.106947469577296,-0.910507787687074,0,201.279803125
G0,11,7,1e-06,72,3,250,895,16,0.017877094972067,1032,36866581,2.79928317735784e-05,27.9928317735784,16,711,879,0.0220082530949106,0.017877094972067,0.0197287299630086,0.76364936875,0.23635063125,0,23.5568116001475,37.4216394651059,0.106947469577296,-0.910507787687074,3171.28952625,3570.921925625
G0-L1,11,7,1e-06,72,2,250,895,0,0,0,35912,0,0,0,0,895,0,0,0,0.9996240375,0.0003759625,0,11.230179126338,17.7526318332673,0.106947469577296,-0.910507787687074,23.243655625,223.386495625
GenGamma,11,7,1e-06,72,3,250,895,189,0.211173184357542,207966,158086602,0.00131551945180022,1315.51945180022,189,179275,706,0.00105313600499264,0.211173184357542,0.00209582000343759,0.00317335,0.99682665,0,1.41706657198999,1.91607349259589,0.106947469577296,-0.910507787687074,156.6399575,1059.37817
GenGamma-exact,11,7,1e-06,72,3,250,895,170,0.189944134078212,144705,147257357,0.00098266737192628,982.66737192628,170,128103,725,0.0013252983870339,0.189944134078212,0.00263223089310046,0.0710668125,0.9289331875,0,1.56632363014206,1.95414895626981,0.106947469577296,-0.910507787687074,384.8894075,1236.8399525
K,11,7,1e-06,72,2,250,895,0,0,0,35912,0,0,0,0,895,0,0,0,0.9996240375,0.0003759625,0,NaN,NaN,0.106947469577296,-0.910507787687074,9.44271937499999,233.314009375
Lognormal,11,7,1e-06,72,2,250,895,7,0.00782122905027933,779,158561677,4.91291473916487e-06,4.91291473916487,7,404,888,0.0170316301703163,0.00782122905027933,0.0107197549770291,0,1,0,0.327028133319113,0.0581709051986545,0.106947469577296,-0.910507787687074,5.743831875,202.886121875
Weibull,11,7,1e-06,72,2,250,895,403,0.450279329608939,96533,158561677,0.000608804105925292,608.804105925292,403,47718,492,0.00837472205482014,0.450279329608939,0.0164436102497144,0,1,0,3.92183587312137,0.697346584998486,0.106947469577296,-0.910507787687074,7.221378125,204.190324375
BurrXII,15,11,1e-06,104,3,250,895,28,0.0312849162011173,1420,93878128,1.51259939908474e-05,15.1259939908474,28,1008,867,0.027027027027027,0.0312849162011173,0.0290005178663905,0.4051886375,0.5948113625,0,2.93332997885689,3.16634889192662,0.10814782627847,-0.956445647969013,329.344855625,550.806715625
