Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
BurrXII,11,7,1e-06,72,3,100,238,3,0.0126050420168067,500,8995978,5.5580393815992e-05,55.580393815992,3,403,235,0.00738916256157635,0.0126050420168067,0.0093167701863354,0.432078410497611,0.567921589502389,0,2.29484274814481,2.65030389529477,0.102587886875272,-1.03964603115886,598.885375433452,954.631376019312
G0,11,7,1e-06,72,3,100,238,2,0.00840336134453781,40,3766197,1.06207933360894e-05,10.6207933360894,2,31,236,0.0606060606060606,0.00840336134453781,0.014760147601476,0.752496783286232,0.247503216713767,0,21.059963204443,35.2373606197741,0.102587886875272,-1.03964603115886,5772.89377684872,6393.56745440798
G0-L1,11,7,1e-06,72,2,100,238,1,0.00420168067226891,30,676319,4.43577660837563e-05,44.3577660837563,1,25,237,0.0384615384615385,0.00420168067226891,0.00757575757575758,0.952657048776654,0.0473429512233459,0,6.21853431669662,10.2495985932583,0.102587886875272,-1.03964603115886,89.7025089220944,443.419563120272
GenGamma,11,7,1e-06,72,3,100,238,68,0.285714285714286,28060,14799701,0.00189598424995208,1895.98424995208,217,18750,170,0.0114409237096009,0.560723514211886,0.022424305053219,0.0684380152812081,0.931561984718792,0,1.27842162960013,2.40778897442824,0.102587886875272,-1.03964603115886,291.073967115161,1661.08523955076
GenGamma-exact,11,7,1e-06,72,3,100,238,59,0.247899159663866,15077,12030583,0.00125322272411902,1253.22272411902,135,10570,179,0.0126109294722092,0.429936305732484,0.0245031309556221,0.239757335492881,0.760242664507119,0,1.64505993429754,3.03427059932633,0.102587886875272,-1.03964603115886,597.100876796113,1697.31762656185
Lognormal,11,7,1e-06,72,2,100,238,3,0.0126050420168067,164,15909731,1.03081566872501e-05,10.3081566872501,3,75,235,0.0384615384615385,0.0126050420168067,0.0189873417721519,0,1,0,0.320293436622185,0.115809088142882,0.102587886875272,-1.03964603115886,14.9415934469574,331.175385294916
Weibull,11,7,1e-06,72,2,100,238,32,0.134453781512605,13614,15909731,0.00085570271426965,855.702714269651,61,6058,206,0.00996894917470175,0.228464419475655,0.0191042906357657,0,1,0,4.00429637378938,1.25408482826435,0.102587886875272,-1.03964603115886,20.4980116037072,336.887513362054
BurrXII,15,11,1e-06,104,3,100,238,8,0.0336134453781513,589,8289071,7.10574200655297e-05,71.0574200655297,9,394,230,0.0223325062034739,0.0376569037656904,0.0280373831775701,0.472199178203546,0.527800821796453,0,2.48452970702542,2.9513708729436,0.109695677926404,-1.19719277199153,572.690836200008,925.760346485531
G0,15,11,1e-06,104,3,100,238,4,0.0168067226890756,67,3490691,1.91939074527078e-05,19.1939074527078,6,40,234,0.130434782608696,0.025,0.041958041958042,0.766787865479055,0.233212134520945,0,20.0259135626833,37.9160595933108,0.109695677926404,-1.19719277199153,5831.0826476574,6439.11237007943
G0-L1,15,11,1e-06,104,2,100,238,3,0.0126050420168067,54,720712,7.49259066034699e-05,74.9259066034699,4,45,235,0.0816326530612245,0.0167364016736402,0.0277777777777778,0.949076754183404,0.0509232458165959,0,7.54991210815774,12.5638968629119,0.109695677926404,-1.19719277199153,88.7727154913938,441.817006194472
GenGamma,15,11,1e-06,104,3,100,238,75,0.315126050420168,35610,14881438,0.00239291391060461,2392.91391060461,262,22685,163,0.0114176145029851,0.616470588235294,0.0224199897313024,0.0625647268096873,0.937435273190313,0,0.981616433024173,1.94873450901129,0.109695677926404,-1.19719277199153,289.012378207851,1704.24134361298
