Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
BurrXII,11,7,1e-06,72,3,60,131,1,0.00763358778625954,312,5292999,5.894578857846e-05,58.94578857846,1,263,130,0.00378787878787879,0.00763358778625954,0.00506329113924051,0.434744553846647,0.565255446153353,0,2.21651049531547,2.5867227027844,0.106605371991147,-1.01254572092482,460.338806671446,807.767943862111
CA-CFAR,11,7,1e-06,72,0,60,131,5,0.0381679389312977,202,9394273,2.15024621915927e-05,21.5024621915927,5,71,126,0.0657894736842105,0.0381679389312977,0.0483091787439614,0,1,0.0164945496270797,NaN,NaN,0.106605371991147,-1.01254572092482,0,327.6671691981
G0,11,7,1e-06,72,3,60,131,0,0,43,2167492,1.98385968667935e-05,19.8385968667935,0,28,131,0,0,0,0.757605776394923,0.242394223605077,0,21.7412534662589,37.6446792809999,0.106605371991147,-1.01254572092482,4106.18074134361,4704.01747407168
G0-L1,11,7,1e-06,72,2,60,131,0,0,2,323910,6.17455466024513e-06,6.17455466024513,0,2,131,0,0,0,0.963735159831751,0.0362648401682493,0,7.13157585191383,11.5667174998825,0.106605371991147,-1.01254572092482,57.9947071404713,403.99901012438
GenGamma,11,7,1e-06,72,3,60,131,39,0.297709923664122,16145,8774453,0.00184000073850757,1840.00073850757,39,10872,92,0.00357437448446522,0.297709923664122,0.00706393769244702,0.0649385536279963,0.935061446372004,0,1.25000012225835,2.74848935269421,0.106605371991147,-1.01254572092482,231.585291629986,1497.84833120764
GenGamma-exact,11,7,1e-06,72,3,60,131,27,0.206106870229008,8800,7095197,0.00124027563998575,1240.27563998575,27,6173,104,0.00435483870967742,0.206106870229008,0.00852945822145001,0.241134095958033,0.758865904041967,0,1.68734250963133,3.31623818074366,0.106605371991147,-1.01254572092482,432.117615032212,1457.48727625987
K,11,7,1e-06,72,2,60,131,1,0.00763358778625954,3,323910,9.26183199036769e-06,9.26183199036769,1,3,130,0.25,0.00763358778625954,0.0148148148148148,0.963735159831751,0.0362648401682493,0,NaN,NaN,0.106605371991147,-1.01254572092482,37.632260375152,1122.27084915122
Lognormal,11,7,1e-06,72,2,60,131,0,0,107,9394273,1.13899180915862e-05,11.3899180915862,0,45,131,0,0,0,0,1,0,0.326504369629252,0.116066637523342,0.106605371991147,-1.01254572092482,11.5401855070184,328.804891624951
Weibull,11,7,1e-06,72,2,60,131,28,0.213740458015267,9354,9394273,0.000995713026436426,995.713026436426,28,3541,103,0.00784533482768282,0.213740458015267,0.0151351351351351,0,1,0,3.9281344478242,1.27087383676689,0.106605371991147,-1.01254572092482,16.8387974654774,334.464377532486
BurrXII,15,11,1e-06,104,3,60,131,5,0.0381679389312977,419,4889441,8.56948677773185e-05,85.6948677773185,5,266,126,0.018450184501845,0.0381679389312977,0.0248756218905473,0.473724706242757,0.526275293757243,0,2.36655954003704,2.66413625550407,0.112020641834398,-1.22699172439767,437.791237561931,762.219913622014
CA-CFAR,15,11,1e-06,104,0,60,131,7,0.0534351145038168,350,9394273,3.72567414210764e-05,37.2567414210764,7,72,124,0.0886075949367089,0.0534351145038168,0.0666666666666667,0,1,0,NaN,NaN,0.112020641834398,-1.22699172439767,0,304.767172745258
G0,15,11,1e-06,104,3,60,131,0,0,48,2013339,2.38409925005178e-05,23.8409925005178,0,34,131,0,0,0,0.771742230636284,0.228257769363716,0,17.6639209845974,38.1475520655133,0.112020641834398,-1.22699172439767,4395.84060838862,4953.04751350963
G0-L1,15,11,1e-06,104,2,60,131,3,0.0229007633587786,15,333669,4.49547305862996e-05,44.9547305862996,3,11,128,0.214285714285714,0.0229007633587786,0.0413793103448276,0.962095699374802,0.0379043006251978,0,7.69116968845371,13.9951299017126,0.112020641834398,-1.22699172439767,56.9747170829169,381.518036051819
GenGamma,15,11,1e-06,104,3,60,131,52,0.396946564885496,20513,8834888,0.00232181777516591,2321.81777516591,52,12938,79,0.00400307929176289,0.396946564885496,0.00792622513527932,0.0579168992907136,0.942083100709286,0,0.970062834510229,2.24609115016942,0.112020641834398,-1.22699172439767,218.369245450769,1494.53782347405
GenGamma-exact,15,11,1e-06,104,3,60,131,48,0.366412213740458,10180,6710384,0.00151705178123934,1517.05178123935,48,6613,83,0.00720612520642546,0.366412213740458,0.0141342756183746,0.279336795285385,0.720663204714615,0,1.37025846123705,2.56518677100664,0.112020641834398,-1.22699172439767,429.366403667242,1386.36182117558
K,15,11,1e-06,104,2,60,131,4,0.0305343511450382,17,333669,5.09486946644729e-05,50.9486946644729,4,12,127,0.25,0.0305343511450382,0.054421768707483,0.962095699374802,0.0379043006251978,0,NaN,NaN,0.112020641834398,-1.22699172439767,39.7473445463065,338.702618000487
Lognormal,15,11,1e-06,104,2,60,131,0,0,154,9394273,1.63929662252736e-05,16.3929662252736,0,37,131,0,0,0,0,1,0,0.334688413912601,0.0952429842737063,0.112020641834398,-1.22699172439767,10.5206635495363,304.656482681494
Weibull,15,11,1e-06,104,2,60,131,43,0.32824427480916,9845,9394273,0.00104797891225856,1047.97891225856,43,2911,88,0.0145565335138795,0.32824427480916,0.0278768233387358,0,1,0,3.83221855717613,1.01500170396048,0.112020641834398,-1.22699172439767,13.2741842081968,307.756324578094
BurrXII,17,13,1e-06,120,3,60,131,6,0.0458015267175573,344,4750623,7.24115552844332e-05,72.4115552844332,6,190,125,0.0306122448979592,0.0458015267175573,0.036697247706422,0.486851288364118,0.513148711635882,0,2.46877290096519,2.85549108316645,0.113412183259562,-1.32908202518665,433.869557569495,751.627755588101
