Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP,Pfa_CI_Lo,Pfa_CI_Hi,Ratio_CI_Lo,Ratio_CI_Hi,CI_Width
BurrXII,11,7,1e-06,72,3,60,131,1,0.00763358778625954,312,5292999,5.894578857846e-05,58.94578857846,1,263,130,0.00378787878787879,0.00763358778625954,0.00506329113924051,0.434744553846647,0.565255446153353,0,2.21651049531547,2.5867227027844,0.106605371991147,-1.01254572092482,460.338806671446,807.767943862111,5.25860020014725e-05,6.58627213698215e-05,52.5860020014725,65.8627213698215,1.3276719368349e-05
CA-CFAR,11,7,1e-06,72,0,60,131,5,0.0381679389312977,202,9394273,2.15024621915927e-05,21.5024621915927,5,71,126,0.0657894736842105,0.0381679389312977,0.0483091787439614,0,1,0.0164945496270797,NaN,NaN,0.106605371991147,-1.01254572092482,0,327.6671691981,1.86393158402566e-05,2.46809496978968e-05,18.6393158402566,24.6809496978968,6.04163385764021e-06
G0,11,7,1e-06,72,3,60,131,0,0,43,2167492,1.98385968667935e-05,19.8385968667935,0,28,131,0,0,0,0.757605776394923,0.242394223605077,0,21.7412534662589,37.6446792809999,0.106605371991147,-1.01254572092482,4106.18074134361,4704.01747407168,1.43573269600086e-05,2.67223678069998e-05,14.3573269600086,26.7223678069998,1.23650408469912e-05
G0-L1,11,7,1e-06,72,2,60,131,0,0,2,323910,6.17455466024513e-06,6.17455466024513,0,2,131,0,0,0,0.963735159831751,0.0362648401682493,0,7.13157585191383,11.5667174998825,0.106605371991147,-1.01254572092482,57.9947071404713,403.99901012438,7.47768089652033e-07,2.23044345662922e-05,0.747768089652033,22.3044345662922,2.15566664766401e-05
GenGamma,11,7,1e-06,72,3,60,131,39,0.297709923664122,16145,8774453,0.00184000073850757,1840.00073850757,39,10872,92,0.00357437448446522,0.297709923664122,0.00706393769244702,0.0649385536279963,0.935061446372004,0,1.25000012225835,2.74848935269421,0.106605371991147,-1.01254572092482,231.585291629986,1497.84833120764,0.00181175209207382,0.00186857890261862,1811.75209207382,1868.57890261862,5.68268105447965e-05
GenGamma-exact,11,7,1e-06,72,3,60,131,27,0.206106870229008,8800,7095197,0.00124027563998575,1240.27563998575,27,6173,104,0.00435483870967742,0.206106870229008,0.00852945822145001,0.241134095958033,0.758865904041967,0,1.68734250963133,3.31623818074366,0.106605371991147,-1.01254572092482,432.117615032212,1457.48727625987,0.00121451152944705,0.0012664481308014,1214.51152944705,1266.4481308014,5.19366013543444e-05
K,11,7,1e-06,72,2,60,131,1,0.00763358778625954,3,323910,9.26183199036769e-06,9.26183199036769,1,3,130,0.25,0.00763358778625954,0.0148148148148148,0.963735159831751,0.0362648401682493,0,NaN,NaN,0.106605371991147,-1.01254572092482,37.632260375152,1122.27084915122,1.91001649262718e-06,2.70667624305509e-05,1.91001649262718,27.0667624305509,2.51567459379238e-05
Lognormal,11,7,1e-06,72,2,60,131,0,0,107,9394273,1.13899180915862e-05,11.3899180915862,0,45,131,0,0,0,0,1,0,0.326504369629252,0.116066637523342,0.106605371991147,-1.01254572092482,11.5401855070184,328.804891624951,9.33432182504862e-06,1.37635337848496e-05,9.33432182504862,13.7635337848496,4.429211959801e-06
Weibull,11,7,1e-06,72,2,60,131,28,0.213740458015267,9354,9394273,0.000995713026436426,995.713026436426,28,3541,103,0.00784533482768282,0.213740458015267,0.0151351351351351,0,1,0,3.9281344478242,1.27087383676689,0.106605371991147,-1.01254572092482,16.8387974654774,334.464377532486,0.00097564552727827,0.00101608908003986,975.64552727827,1016.08908003986,4.04435527615903e-05
BurrXII,15,11,1e-06,104,3,60,131,5,0.0381679389312977,419,4889441,8.56948677773185e-05,85.6948677773185,5,266,126,0.018450184501845,0.0381679389312977,0.0248756218905473,0.473724706242757,0.526275293757243,0,2.36655954003704,2.66413625550407,0.112020641834398,-1.22699172439767,437.791237561931,762.219913622014,7.76852420174756e-05,9.43060622225651e-05,77.6852420174756,94.3060622225651,1.66208202050895e-05
